plot,tree,species,d13,h,v
30,509,2,4.3,4,0.003946159
30,510,1,3.4,5,0.002889576
30,511,1,4.1,5.5,0.004469602
30,512,1,11.1,10.9,0.055157907
30,519,1,14.8,15.7,0.134062324
30,523,3,5.2,8.4,0.010388354
30,524,1,10,11.8,0.048027254
31,15,1,20,14,0.21816791
31,20,1,17.1,14.8,0.168803496
31,23,1,13.5,13.7,0.099045092
31,24,1,13.8,13,0.098749403
31,28,1,21.3,13.4,0.237241195
31,29,1,18.6,15.6,0.208611197
31,31,1,10.9,14.2,0.06702091
31,35,1,16.4,12.3,0.132070205
31,36,1,15.9,15.8,0.155220101
31,40,1,21.4,13.2,0.236257485
31,44,1,21.9,12.9,0.242158672
31,46,1,15.5,13,0.124093073
31,47,1,15.4,13.3,0.125012058
31,48,1,21.3,14.6,0.256021333
31,52,1,13.8,12.5,0.095412756
31,59,1,17.9,14.4,0.180141818
31,60,1,16.4,12.9,0.137688942
31,507,1,9.7,11.5,0.04421933
32,19,1,20.3,15.1,0.240281181
32,20,1,22.4,16.9,0.322130477
32,22,1,16.4,15.4,0.16117361
32,23,1,13.8,13.9,0.10476465
32,26,1,18.9,15,0.207779952
32,29,1,17.5,15.4,0.183031275
32,31,3,6.2,7.5,0.012895445
32,32,1,21.9,15.4,0.283462033
32,35,1,17.3,15.3,0.177914044
32,37,1,21.2,15.4,0.266114267
32,40,1,8.5,10.2,0.030719998
32,41,1,14.8,12.7,0.111023998
32,42,3,6.6,9.5,0.018389395
32,47,1,16.1,14.2,0.144558398
32,49,1,20.8,13.5,0.228018973
32,50,1,18.3,14.6,0.190426603
32,52,1,17.1,12.6,0.14639084
32,55,1,4,5.6,0.004305832
32,56,3,3.4,5.5,0.003164748
32,57,1,18.5,14.8,0.196895714
32,62,1,11.5,13.6,0.071711983
32,63,1,22.7,14.4,0.286176746
32,500,3,8.5,10.1,0.03133033
32,501,3,5.6,7.8,0.011082424
32,502,3,3.3,5.5,0.002991459
32,503,3,6.6,9.7,0.018795884
32,504,3,3.5,5.3,0.003244585
32,505,3,2.5,4.6,0.001547071
32,506,3,4.5,6.3,0.006021956
32,507,3,4,6.1,0.004691117
32,508,3,4.3,7.5,0.006503805
32,509,3,5.2,7.3,0.009048438
32,510,3,7.5,9.2,0.022543097
32,511,3,3.7,6.3,0.004167902
32,512,3,4.8,6.3,0.006796675
32,513,1,9.7,12.1,0.046208913
32,517,3,4.4,5.1,0.004843259
32,522,3,3.8,5.1,0.003676572
32,523,3,2.8,4.4,0.001861205
32,524,3,2.7,5.2,0.001958008
32,525,1,9.5,11.4,0.04211205
32,526,3,7.1,9,0.019909018
32,527,3,5.6,8.5,0.012074997
32,528,1,8.2,11.5,0.031680552
32,530,1,13.4,13,0.093190461
32,531,3,4.7,7.3,0.00748781
33,13,1,31.1,23.4,0.818836049
33,17,1,25.1,24,0.555229327
33,18,1,35.3,27.6,1.217546664
33,20,3,11.8,15.3,0.090468211
33,26,1,33.1,22.7,0.89654186
33,27,1,29.9,24.5,0.792787681
33,36,2,33,26,1.01133334
33,37,2,17.8,20.9,0.271892144
33,39,3,7.2,10.8,0.024771015
33,42,2,25.6,22.5,0.556882174
33,500,3,10.4,12.6,0.057717374
33,501,3,4.4,7.6,0.006878571
33,502,3,4.6,8.4,0.008256839
33,503,3,3.8,6.8,0.004697663
33,504,2,15.7,14.7,0.144407559
33,505,2,5.7,5.2,0.007981693
33,506,3,6.3,10.7,0.019137301
33,509,2,7.5,6.3,0.01561042
33,510,3,8.1,10.7,0.030492509
33,511,2,17.7,20.2,0.258543389
33,512,2,4.4,5,0.004771141
33,513,3,8.4,13,0.040390505
33,514,3,7,8.2,0.01764208
33,515,2,16,11.3,0.111329108
33,516,3,6.5,6.4,0.012140649
33,517,2,7.4,5.9,0.01437918
33,518,3,6.7,5.5,0.011277509
33,519,3,8.3,14,0.042947312
33,520,2,5.6,5.7,0.00831687
33,521,2,17.8,14.7,0.180375288
33,522,2,9.3,8.4,0.03053417
33,523,2,9.8,9.5,0.038144151
33,524,3,5.8,9.3,0.014139693
33,525,3,8.2,12.5,0.036981182
33,530,2,7.4,8.2,0.019555867
33,531,3,3.4,6.5,0.003655135
33,532,2,6.8,7.1,0.014529405
33,533,2,5.6,6.6,0.009456917
33,534,3,3,5.4,0.002461984
33,535,3,4.9,9.2,0.010201687
33,536,3,7.2,12.1,0.028046889
33,537,3,8.9,12.8,0.044154831
33,538,3,3.3,5.3,0.0029038
33,539,3,3.7,6.9,0.004528689
33,540,3,4.5,8.4,0.007923308
33,541,3,3.8,8.2,0.005628319
33,542,2,4.9,4.7,0.005581331
33,543,2,4.5,4.2,0.004420351
33,544,3,48.8,24.6,1.747484021
33,545,3,4.9,7.8,0.008633455
34,23,1,18.8,16,0.217935765
34,24,1,18.4,17.3,0.224316759
34,25,1,13.2,15.5,0.105798143
34,27,1,21.7,16.3,0.293095864
34,29,1,22.1,17.4,0.322245667
34,31,1,19,16.9,0.233796276
34,37,1,15.4,14.4,0.134141152
34,39,1,16.8,16.4,0.178842059
34,41,1,14.8,15.1,0.129445926
34,42,1,21.7,16.1,0.289840698
34,44,1,19.1,15,0.212094136
34,48,1,19,16.7,0.231281968
34,51,1,18.2,15.8,0.202242944
34,52,1,16.8,14.1,0.156153136
34,53,1,11.6,14.2,0.075799059
34,54,1,24.9,17.9,0.416686861
34,58,1,16.9,15.9,0.175938054
34,62,1,29,18,0.561777757
34,66,1,16,14.8,0.148175601
34,68,1,22.8,17.2,0.338766432
34,70,1,24.4,17.3,0.38838211
34,72,1,19.1,17.3,0.241286175
34,502,1,13.6,13.4,0.09854692
34,503,1,13.6,14.9,0.108300598
34,506,1,7.1,9.3,0.019886939
35,16,1,17.5,15.9,0.188377138
35,17,1,24.7,18.5,0.422813953
35,19,1,21.7,16.5,0.2963517
35,21,1,15.2,15,0.13560074
35,24,1,18.4,16.7,0.217230826
35,26,1,20.3,18.4,0.28747627
35,28,1,19,16.7,0.231281968
35,31,1,12.9,14.9,0.097588557
35,33,1,21.7,16.9,0.302865273
35,34,1,18,18.5,0.228468491
35,35,1,25.6,19.8,0.482300925
35,36,1,23.5,17.7,0.368731989
35,39,1,18.1,16.6,0.209218186
35,43,1,22.7,18.5,0.359016454
35,44,1,16.9,17.7,0.193933643
35,48,1,17.9,17.2,0.21143501
35,49,1,16.7,16.9,0.181644908
35,50,1,22.1,19.1,0.350963949
35,56,1,22.8,17.7,0.347734803
35,59,1,20.9,18.7,0.30879956
35,61,1,21.6,17.5,0.309845747
35,62,1,17.6,16.4,0.195898338
35,500,1,11.9,12.1,0.06924907
35,501,1,11.1,12,0.059915841
35,502,7,2.2,4.2,0.001145106
35,506,1,12.4,15.4,0.092980818
36,25,1,14.4,15.3,0.124113402
36,27,1,19.3,16.7,0.238463154
36,28,1,12,13.1,0.075466821
36,31,1,17.4,16.7,0.194739996
36,32,1,16.9,13.5,0.152004489
36,33,1,20.8,16.2,0.268417115
36,36,1,17.4,14.9,0.175706819
36,41,1,17.1,16.1,0.182084105
36,42,1,25,16.5,0.389919188
36,44,1,18.4,16.7,0.217230826
36,47,1,13,12.9,0.087193169
36,49,1,18.2,15.4,0.197625517
36,50,1,23.1,16.5,0.334593524
36,53,1,15.7,15,0.144499243
36,56,1,16.8,15.6,0.170942703
36,57,1,16.3,13.9,0.145317196
36,58,1,20.7,16.5,0.270366089
36,61,1,17.8,16.2,0.198065169
36,62,1,19.5,17.5,0.253891026
36,502,1,8.3,9.1,0.026650411
36,508,1,11.9,14.7,0.082220807
36,509,1,14,15,0.115351701
36,510,1,8.7,13,0.039646762
36,511,1,5.6,9.6,0.012720614
36,512,1,13.8,13.7,0.103427001
36,513,1,10.7,13.5,0.06177599
36,514,1,17.9,15.2,0.189071873
36,516,1,5.1,7.7,0.008834008
36,517,1,6,6.2,0.010388976
36,518,1,7.1,10.9,0.022720031
36,519,1,13.9,15.7,0.118495341
36,520,1,7.4,10.8,0.024477798
36,524,1,14,15.2,0.116730616
36,525,1,4.5,6.5,0.006051789
36,526,1,12.9,12.3,0.08237115
36,527,1,8.7,11.1,0.034566405
36,528,1,15.5,14.3,0.135015801
37,26,1,21.2,13.8,0.241278224
37,28,1,20.9,16.3,0.272447446
37,34,1,22.2,15.7,0.296153032
37,35,1,23.5,16,0.3364157
37,37,1,27.2,16.3,0.453779593
37,38,1,16.9,16.9,0.185931914
37,40,1,14,14.5,0.111906117
37,41,1,17.8,13.1,0.163850524
37,44,1,20.8,15.3,0.254934164
37,47,1,22.2,16.2,0.304656862
37,51,1,14,16.5,0.125701734
37,53,1,25.1,17.3,0.410215237
37,55,1,16.8,15.6,0.170942703
37,56,1,17.5,13.6,0.163817165
37,57,1,18.8,15.4,0.210555606
37,61,1,15.6,13.9,0.133325017
37,62,1,14.6,14.8,0.123782956
37,65,1,14.3,12.6,0.103052069
37,67,1,11.2,12.6,0.063636967
37,68,1,13.3,13.8,0.096796417
37,74,1,15.5,11.6,0.112367103
37,75,1,11.5,10,0.054999657
37,503,5,7.4,8,0.019080612
37,504,5,4.6,5.5,0.00558824
37,505,5,4.7,5.6,0.005904835
37,506,5,4.2,5.3,0.004572859
37,507,5,3.2,4.3,0.002360576
37,508,5,2.6,4.2,0.001571426
37,509,7,4.9,7.3,0.008095969
37,510,5,3.2,4,0.002262224
37,511,5,3.7,5.1,0.003496517
37,512,5,2.9,4,0.001878368
37,513,5,4,5.6,0.004362035
37,514,5,3.4,4.7,0.002807849
37,515,5,5.9,6.4,0.010137415
37,516,5,4.7,5,0.005399603
37,517,1,6.4,8.1,0.014461971
37,518,5,5,4.9,0.005972922
37,519,5,4.1,4.5,0.003877375
37,520,5,3.6,4.2,0.002905505
37,521,5,5,5.1,0.006154904
37,522,5,4,4.8,0.003870871
37,524,5,3,4.3,0.002089713
37,526,1,19.9,15,0.229767789
37,527,7,2.9,7.1,0.002937607
37,529,1,20,14.2,0.220937308
37,530,1,6.4,8.4,0.014887593
37,531,1,19.5,15.4,0.226128465
37,532,1,17.7,16.4,0.198082147
37,533,1,16.7,12.8,0.14169862
37,534,1,12.7,13.5,0.086672029
37,535,1,5.4,10.2,0.012444902
37,536,1,14.7,16,0.134566076
37,537,3,2.5,4.4,0.001501954
37,538,3,4.5,8.2,0.007733773
37,539,1,11.2,10.1,0.052636635
37,540,3,3.4,4.5,0.002725475
37,544,1,9.4,11,0.039993779
37,545,1,6.9,8.5,0.017459912
37,546,3,5.7,8.6,0.01262958
37,547,3,2.2,4.4,0.001178842
37,548,1,8.6,11.4,0.034563805
37,549,3,4.5,7.1,0.006721301
37,551,1,8.2,8.8,0.025314189
37,552,3,3.3,5.3,0.0029038
37,553,1,11.9,11.7,0.06726069
37,554,1,18.5,14.4,0.192134805
38,18,1,27.4,20.2,0.560062907
38,19,3,16.4,20.4,0.228560432
38,20,1,22.6,20.7,0.394800217
38,24,1,23.4,21.8,0.443147758
38,30,1,23.8,23.2,0.485303132
38,31,1,27.1,22.5,0.606056474
38,32,1,11.7,15,0.080964377
38,33,1,16.2,18.8,0.188634872
38,34,1,25,20.4,0.4735872
38,40,1,28.3,22,0.645098553
38,41,1,29.1,21.9,0.677702605
38,45,1,21,19.2,0.319333286
38,48,1,23.1,21,0.417449828
38,49,1,17.9,20.3,0.246169759
38,54,1,25.6,20.7,0.502536226
38,55,1,23.3,19.2,0.390755843
38,56,1,24.8,21.6,0.491673925
38,58,1,21.6,20.9,0.36481527
38,59,1,23.9,20,0.426229354
38,63,1,15.7,17.8,0.168717077
38,502,3,2.4,3.9,0.001295245
38,503,3,3.5,5.5,0.003342531
38,509,3,7.1,8.3,0.018333829
38,511,3,3.5,5.9,0.00354451
38,512,1,26.5,21.4,0.554009825
38,513,3,4.9,7.6,0.008416893
38,515,3,2.8,4.7,0.001945942
38,516,3,8.2,10.7,0.031190739
38,517,3,2.1,4.2,0.001048402
38,522,3,2.6,4.4,0.001617722
38,523,3,2,4.7,0.001028649
38,524,3,4.7,5.8,0.006080657
38,525,3,2.8,4.6,0.001917113
38,531,3,4.1,7.5,0.005947034
38,532,3,3.2,4.7,0.002504364
38,538,3,3.1,4.9,0.002430433
38,539,3,3,5.1,0.00235407
38,540,1,9.4,16.4,0.056887706
38,541,3,3.4,4.9,0.002893295
39,24,1,16.1,13.8,0.140935022
39,28,1,16.5,13.5,0.145033903
39,30,1,10.2,12.8,0.053617578
39,33,1,21.7,13.7,0.250843747
39,36,1,6.3,7.3,0.012923303
39,39,1,4.5,6.4,0.00598391
39,43,1,4.1,6.1,0.004799429
39,45,1,18,12.9,0.165221027
39,46,1,16.9,13.4,0.151009331
39,47,1,22.7,15.7,0.309237524
39,48,1,11.7,11.7,0.065045658
39,50,1,16.7,14.1,0.154336931
39,52,1,16.9,14.9,0.165955475
39,54,1,15.6,15.3,0.145256824
39,56,1,13.6,13.1,0.096599445
39,60,1,15,13.4,0.119500082
39,63,1,13.4,13.5,0.096342872
39,65,1,12.1,13.7,0.079807925
39,66,1,15.4,14.8,0.137465037
39,67,1,19.2,15.3,0.218109174
39,68,1,18.8,14.8,0.203181023
39,500,1,18.5,12.5,0.169567759
39,501,3,2.7,4.2,0.001687757
39,502,3,4.1,6.3,0.005055971
39,503,3,2.4,4.6,0.001431961
39,507,3,6.3,10.1,0.017990902
39,508,3,6.9,10,0.021080962
39,509,1,19,11.7,0.168656311
39,510,1,7.7,9.9,0.024616018
39,511,3,3.4,5,0.002937053
39,512,1,9.3,11.9,0.041896197
39,513,1,9.8,13.1,0.050549797
39,514,1,13.8,12.8,0.097414258
39,515,1,12.5,13.6,0.084549655
39,516,3,2.4,4.8,0.001475424
39,517,1,12.8,13.5,0.088023379
39,518,1,12.3,13.5,0.081367621
39,523,1,6.4,10.6,0.018042613
39,524,1,18.2,15.4,0.197625517
39,525,1,3.3,4.7,0.002621817
39,526,1,15.6,13.9,0.133325017
39,527,4,2,3.7,0.000893275
39,528,1,13.4,10.3,0.076245467
39,529,3,3.8,5.4,0.003845112
39,531,1,6.3,8.1,0.014015034
39,532,3,3,3.8,0.001949779
39,533,1,10.8,12.6,0.05921945
39,534,3,2.9,5.9,0.002485357
39,535,3,2.8,5.3,0.002129016
39,536,3,6.1,10,0.016764022
39,537,3,4.6,8.3,0.008157879
39,538,1,7.9,10.1,0.026341626
39,539,3,1.9,5.2,0.001005862
39,540,1,18.1,16,0.202360923
39,541,1,13.8,14.4,0.10811083
39,542,1,15.5,13.3,0.126611202
39,543,1,8,12.2,0.031746774
39,545,3,2.1,4.6,0.001111709
40,15,1,23.6,21,0.435140362
40,16,1,30.3,22.6,0.754087879
40,19,1,29.2,25.1,0.774976147
40,20,1,25.7,21.6,0.526729412
40,21,1,28.1,21.4,0.620209614
40,22,1,23.3,21.9,0.441359866
40,23,1,19,21.8,0.295504058
40,25,1,25,22.4,0.516561633
40,26,1,19.3,21.2,0.296880053
40,27,1,28.5,24.3,0.717543751
